section,method,item_id,item_text,rationale,response_format,design_notes,status,fielding_order_position
Demographics,Demographics for MRP weighting,demo_gender,Gender,Required for MRP post-stratification to ACS population counts (§5). Census/ACS categories used so they post-stratify to population controls.,Male / Female / In another way–non-binary / Prefer not to say,"Weighting uses ACS sex controls; extra category kept descriptively and allocated, not dropped",Live,11
Demographics,Demographics for MRP weighting,demo_education,Education,Required for MRP post-stratification to ACS population counts (§5). Census/ACS categories used so they post-stratify to population controls.,"< high school / High-school grad / Some college, no degree / Associate / Bachelor's / Graduate or professional","ACS B15003, collapsed",Live,11
Demographics,Demographics for MRP weighting,demo_income,Household income,Required for MRP post-stratification to ACS population counts (§5). Census/ACS categories used so they post-stratify to population controls.,"Census/ACS brackets, < $15k to $200k+",ACS B19001,Live,11
Demographics,Demographics for MRP weighting,demo_state,State,Required for MRP post-stratification to ACS population counts (§5). Census/ACS categories used so they post-stratify to population controls.,All 50 + DC,No state map unless per-state effective sample clears pre-registered threshold,Live,11
Demographics,Age bracket,demo_age_18_24,Age bracket: 18–24,ACS B01001,Radio button,,Live (response option),11
Demographics,Age bracket,demo_age_25_34,Age bracket: 25–34,ACS B01001,Radio button,,Live (response option),11
Demographics,Age bracket,demo_age_35_44,Age bracket: 35–44,ACS B01001,Radio button,,Live (response option),11
Demographics,Age bracket,demo_age_45_54,Age bracket: 45–54,ACS B01001,Radio button,,Live (response option),11
Demographics,Age bracket,demo_age_55_64,Age bracket: 55–64,ACS B01001,Radio button,,Live (response option),11
Demographics,Age bracket,demo_age_65_74,Age bracket: 65–74,ACS B01001,Radio button,,Live (response option),11
Demographics,Age bracket,demo_age_75_or_older,Age bracket: 75 or older,ACS B01001,Radio button,,Live (response option),11
Analysis,Convergence go/no-go,convergence_gonogo,Pre-registered convergence test: single quantitative public number reported only if DCE (§3.2) and direct scope instrument (§3.1) agree within about one order of magnitude in overlap subsample,"If they diverge, report a bound plus a qualitative finding. Expert-to-public multiplier computed only on a pass, as a distribution with credible intervals, conditioned on stated benefit scenario, with uncertainty propagated on both sides.",Analysis rule (not a survey item),Never manufacture an 'N times safer' headline from §3.3 back-out.,Live (analysis decision),
Analysis,MRP,mrp_estimation,Multilevel regression and post-stratification (MRP) to estimate population-level risk tolerance,"Convenience/panel sample is not the US public. MRP models outcome with demographic/geographic predictors, re-weights to ACS population counts.",Analysis method (not a survey item),Validated by posterior predictive checks and leave-one-state-out cross-validation. No state map published unless effective per-state sample clears pre-registered threshold.,Live (analysis decision),
Dumpster (Appendix C),Cut item,dump_icon_arrays,Icon arrays,Why cut: Bias judgements upward,N/A (cut from instrument),Kept only as a randomised arm to measure that bias,Dumpster,
Dumpster (Appendix C),Cut item,dump_verbal_anchors,Verbal societal-risk anchors ('1 in 100 = a pandemic'),Why cut: Confused 2024 Australian respondents,N/A (cut from instrument),Replaced by familiar-technology comparators,Dumpster,
Dumpster (Appendix C),Cut item,dump_micromorts,Micromorts,Why cut: Not clearly validated/intuitive for a general US sample,N/A (cut from instrument),,Dumpster,
Dumpster (Appendix C),Cut item,dump_all_tech_risk,'All technologies carry residual risk' preamble,Why cut: Primes acceptance; imports a wrong 'last order of magnitude' frame for AI,N/A (cut from instrument),Barnett criticism #5,Dumpster,
Dumpster (Appendix C),Cut item,dump_offtheshelf,"Off-the-shelf scales (AIAS-4, GAAIS, GRIPS, DOSPERT)","Why cut: Measure general attitudes / trait risk, not AI-specific tolerance; can't build an F–N curve",N/A (cut from instrument),,Dumpster,
Dumpster (Appendix C),Cut item,dump_4000x,'4000× safer' multiplier from qualitative item,Why cut: Conflates qualitative answer with expert estimates,N/A (cut from instrument),Gradient #16,Dumpster,
Dumpster (Appendix C),Cut item,dump_sb53_direct,Direct 'do you support SB 53 / the RAISE Act',Why cut: Reads as advocacy,N/A (cut from instrument),Ask the underlying values question instead,Dumpster,
Dumpster (Appendix C),Cut item,dump_retest,Test–retest recontact wave,Why cut: Dropped on cost,N/A (cut from instrument),Consistency handled within-survey,Dumpster,
Dumpster (Appendix C),Cut item,dump_wtp_unlimited,'I'd pay whatever it takes' WTP option,Why cut: Strategic and unbounded; breaks the scale,N/A (cut from instrument),,Dumpster,
Dumpster (Appendix C),Cut item,dump_mitigations,Mitigations battery ('I'd trust AI more if…'),"Why cut: Removed from live instrument (MN, 17 Jun 2026)",N/A (cut from instrument),FAA-style item carries the single most important mitigation; rest recoverable,Dumpster,
Dumpster (Appendix C),Cut item,dump_priority_risks,Priority-risks battery ('government should focus regulation on…'),"Why cut: Removed from live instrument (MN, 17 Jun 2026)",N/A (cut from instrument),,Dumpster,
Dumpster (Appendix C),Cut item,dump_crt,Cognitive reflection (CRT) battery (4 items from expanded CRT),Why cut: Too little space; rationale too weak; classic items leaked in online panels; overlaps with numeracy (r ≈ 0.3–0.5),N/A (cut from instrument),"Recoverable if a hypothesis emerges that numeracy cannot test. Source: Toplak et al., Thinking & Reasoning 2013.",Dumpster,
Dumpster (Appendix C),Cut item,dump_nfc,Need-for-cognition short form (6 items),"Why cut: A disposition, not an ability; effect captured by numeracy; likely small",N/A (cut from instrument),Source: Cacioppo & Petty 1982; 6-item form,Dumpster,
Dumpster (Appendix C),Cut item,dump_env_module,"Environment / data-centre module (reverse-halo: env_label, env_reversal, env_forgo, env_attitude)",Why cut: Decision relevance unclear; none of three justifications earned its place against length budget,N/A (cut from instrument),Dropped 29 Jun 2026. Recoverable as standalone framing study (after Masley). First-fielding / un-priming rationale lapses with cut.,Dumpster,
Dumpster (Appendix C),Cut item,dump_m1_attitudes,"Module 1 descriptive-attitudes battery (m1_goodharm, m1_worry_control, m1_trust_companies, m1_extinction_priority, m1_reg_toofar, m1_treaty_ban)","Why cut: Cluster A descriptive attitudes, not risk tolerance; don't feed the public number; spend length budget",N/A (cut from instrument),Trend value recoverable from prior SARA waves; ban-appetite survives via §6 wording experiment. Dropped 29 Jun 2026.,Dumpster,
Dumpster (Appendix C),Cut item,dump_m2_pace,"m2_pace (tolerability of current pace of AI disruption, setting catastrophe aside)",Why cut: Non-catastrophic disruption is off-aim for a risk-tolerance survey; unclear what decision it informs,N/A (cut from instrument),Dropped 29 Jun 2026.,Dumpster,
Dumpster (Appendix C),CRT item (cut),dump_crt_1,"If John can drink one barrel of water in 6 days, and Mary can drink one barrel of water in 12 days, how long would it take them to drink one barrel of water together?","Expanded CRT; dropped because too little space, weak rationale, leaked items in online panels, overlaps with numeracy",Free text / multiple choice,Correct: 4 days; intuitive: 9,Dumpster,
Dumpster (Appendix C),CRT item (cut),dump_crt_2,Jerry received both the 15th highest and the 15th lowest mark in the class. How many students are in the class?,"Expanded CRT; dropped because too little space, weak rationale, leaked items in online panels, overlaps with numeracy",Free text / multiple choice,Correct: 29; intuitive: 30,Dumpster,
Dumpster (Appendix C),CRT item (cut),dump_crt_3,"A man buys a pig for $60, sells it for $70, buys it back for $80, and sells it finally for $90. How much has he made?","Expanded CRT; dropped because too little space, weak rationale, leaked items in online panels, overlaps with numeracy",Free text / multiple choice,Correct: $20; intuitive: $10,Dumpster,
Dumpster (Appendix C),CRT item (cut),dump_crt_4,"Simon decided to invest $8,000 in the stock market one day early in 2008. Six months after he invested, on July 17, the stocks he had purchased were down 50%. Fortunately for Simon, from July 17 to October 17, the stocks he had purchased went up 75%. At this point, Simon has:","Expanded CRT; dropped because too little space, weak rationale, leaked items in online panels, overlaps with numeracy",Free text / multiple choice,"Correct: c (lost money, value = $7,000); intuitive: b (ahead)",Dumpster,
Dumpster (Appendix C),NFC item (cut),dump_nfc_1,I would prefer complex to simple problems.,"Need-for-cognition 6-item short form; dropped because a disposition not an ability, effect captured by numeracy",Likert agreement scale,Source: Cacioppo & Petty 1982; efficient 6-item form.,Dumpster,
Dumpster (Appendix C),NFC item (cut),dump_nfc_2,I like to have the responsibility of handling a situation that requires a lot of thinking.,"Need-for-cognition 6-item short form; dropped because a disposition not an ability, effect captured by numeracy",Likert agreement scale,Source: Cacioppo & Petty 1982; efficient 6-item form.,Dumpster,
Dumpster (Appendix C),NFC item (cut),dump_nfc_3,Thinking is not my idea of fun. (R),"Need-for-cognition 6-item short form; dropped because a disposition not an ability, effect captured by numeracy",Likert agreement scale,Source: Cacioppo & Petty 1982; efficient 6-item form.,Dumpster,
Dumpster (Appendix C),NFC item (cut),dump_nfc_4,I would rather do something that requires little thought than something that is sure to challenge my thinking abilities. (R),"Need-for-cognition 6-item short form; dropped because a disposition not an ability, effect captured by numeracy",Likert agreement scale,Source: Cacioppo & Petty 1982; efficient 6-item form.,Dumpster,
Dumpster (Appendix C),NFC item (cut),dump_nfc_5,I really enjoy a task that involves coming up with new solutions to problems.,"Need-for-cognition 6-item short form; dropped because a disposition not an ability, effect captured by numeracy",Likert agreement scale,Source: Cacioppo & Petty 1982; efficient 6-item form.,Dumpster,
Dumpster (Appendix C),NFC item (cut),dump_nfc_6,"I would prefer a task that is intellectual, difficult, and important to one that is somewhat important but does not require much thought.","Need-for-cognition 6-item short form; dropped because a disposition not an ability, effect captured by numeracy",Likert agreement scale,Source: Cacioppo & Petty 1982; efficient 6-item form.,Dumpster,
Open questions (§9),Open question,open_q1,Theory of change: what is the strongest version of 'this changes a real decision'?,Unresolved design decision,"N/A (decision point, not survey item)","If honest answer is 'shifts Overton window and arms regulators with a public number,' design dissemination around that.",Open question,
Open questions (§9),Open question,open_q2,"The overshoot problem: if gap is 3–12 OOMs, is F–N machinery the right vehicle or does simpler 'the public finds current trajectory unacceptable' land better?",Unresolved design decision,"N/A (decision point, not survey item)",,Open question,
Open questions (§9),Open question,open_q3,Data-centre module: DECIDED 29 Jun 2026 — cut to dumpster,Unresolved design decision,"N/A (decision point, not survey item)",None of three justifications earned its place.,Open question,
Open questions (§9),Open question,open_q4,Cognitive measures (CRT and need for cognition): tentatively dropped to dumpster,Unresolved design decision,"N/A (decision point, not survey item)",Revisit only if collaborator brings a hypothesis numeracy cannot test.,Open question,
Open questions (§9),Open question,open_q5,"Argument vs social-proof decomposition (§6): approve, modify, or drop the proposed 2×2",Unresolved design decision,"N/A (decision point, not survey item)",,Open question,
Open questions (§9),Open question,open_q6,Convergence failure: pre-commit to exactly what we publish if DCE and direct methods disagree by >1 OOM,Unresolved design decision,"N/A (decision point, not survey item)","A bound and qualitative finding, with what wording.",Open question,
Open questions (§9),Open question,open_q7,"Australia replication: what changes for AU run (comparators, income/ABS categories, data-centre module relevance)",Unresolved design decision,"N/A (decision point, not survey item)",,Open question,
Open questions (§9),Open question,open_q8,Verification before fielding: (a) every named-expert figure needs exact citable quote; (b) dangerous-activity death rates need checking; (c) confirm reviewer name Oscar Delaney,Unresolved design decision,"N/A (decision point, not survey item)",,Open question,
Open questions (§9),Open question,open_q9,Fielding order vs dropout: v9 fields tolerance blocks least-to-most anchoring; confirm worth front-loading harder quantitative items or move gentler block first,Unresolved design decision,"N/A (decision point, not survey item)",,Open question,
Criticisms resolved (§8.1),Resolved criticism,criticism_1,#1 (Oscar Delaney (+Barnett)): Don't trust public probabilities; relative comparisons are more useful,Response: Direct elicitation demoted to validation cross-check; named-expert recognition and relative-standard anchoring are primary,"N/A (design decision, not survey item)",,Resolved,
Criticisms resolved (§8.1),Resolved criticism,criticism_2,#2 (Peter Barnett): Scope insensitivity (treat 1/100k ≈ 1/10M),"Response: Measured not designed away: within-person probability/severity, scope-slope × risk-literacy interaction, rows 2 OOMs apart, order randomised + between-subjects cross-check","N/A (design decision, not survey item)",,Resolved,
Criticisms resolved (§8.1),Resolved criticism,criticism_3,"#3 (Peter Barnett): Tolerability Likert = affect, not a threshold","Response: Triangulated across four methods, consistency-checked, counter-messaged, numeracy-moderated","N/A (design decision, not survey item)",,Resolved,
Criticisms resolved (§8.1),Resolved criticism,criticism_4,#4 (Peter Barnett): F–N overshoots and may be dismissed,"Response: Headline reframed to the robust gap, not a point threshold; back-out is illustrative only","N/A (design decision, not survey item)",,Resolved,
Criticisms resolved (§8.1),Resolved criticism,criticism_5,#5 (Peter Barnett): 'All technologies carry risk' framing misleads,Response: Removed from public-facing items,"N/A (design decision, not survey item)",,Resolved,
Criticisms resolved (§8.1),Resolved criticism,criticism_6,#6 (Peter Barnett): 'Negligent' is weaker than 'Intolerable',Response: Scale relabelled to monotonic Acceptable < Tolerable < Intolerable < Unacceptable,"N/A (design decision, not survey item)",,Resolved,
Criticisms resolved (§8.1),Resolved criticism,criticism_7,#7 (Peter Barnett): Depends what you call 'experts',Response: Every source named and randomised; reported by anchor,"N/A (design decision, not survey item)",,Resolved,
Criticisms resolved (§8.1),Resolved criticism,criticism_8,#8 (Oscar Delaney): Test counter-messages (a16z talking points),"Response: Added randomised message arm; now before superintelligence statement, not tolerance block","N/A (design decision, not survey item)",,Resolved,
Criticisms resolved (§8.1),Resolved criticism,criticism_9,"#9 (Peter Barnett): One attention check 'more strict,' one 'less strict'","Response: Bidirectional attention-check pair, embedded next to comparative-standard items","N/A (design decision, not survey item)",,Resolved,
Criticisms resolved (§8.1),Resolved criticism,criticism_10,#10 (Barnett / Delaney): Give people a neutral intuition for risk levels by comparing to other fields,Response: Relative-standards method plus dangerous-activity sanity anchor,"N/A (design decision, not survey item)",,Resolved,
Criticisms resolved (§8.1),Resolved criticism,criticism_11,"#11 (Gradient (Carroll, A. Reid, Caetano)): Open with a clear purpose; two question classes",Response: §1–§2 rewrite; Cluster A (attitudes) vs Cluster B (tolerance) split,"N/A (design decision, not survey item)",,Resolved,
Criticisms resolved (§8.1),Resolved criticism,criticism_12,#12 (Gradient): Don't assume a latent quantitative preference exists,Response: Stated explicitly; convergence test; ordinal reporting where it fails,"N/A (design decision, not survey item)",,Resolved,
Criticisms resolved (§8.1),Resolved criticism,criticism_13,#13 (Gradient): Define risk precisely (prob × impact; whose risk; control vs application),Response: Standard definitions in instrument preface; every Cluster B item labelled; application risks anchored to today's baseline,"N/A (design decision, not survey item)",,Resolved,
Criticisms resolved (§8.1),Resolved criticism,criticism_14,#14 (Gradient): Don't conflate conditional with unconditional support,Response: Strict conditional-reporting rule; separate unconditional and conditional delay items,"N/A (design decision, not survey item)",,Resolved,
Criticisms resolved (§8.1),Resolved criticism,criticism_15,#15 (Gradient): A citizens' assembly may beat a poll,Response: Deliberative mini-public recommended as Phase 2,"N/A (design decision, not survey item)",,Resolved,
Criticisms resolved (§8.1),Resolved criticism,criticism_16,#16 (Gradient): Drop 'public want AI 4000× safer',Response: Removed; back-out downgraded to illustration,"N/A (design decision, not survey item)",,Resolved,
Criticisms resolved (§8.1),Resolved criticism,criticism_17,#17 (Gradient): Figure 11 category error ('systems should be stricter'),Response: Split into stricter standards and safer systems,"N/A (design decision, not survey item)",,Resolved,
Criticisms resolved (§8.1),Resolved criticism,criticism_18,#18 (Ball-style skeptical review): 'Advocacy in a lab coat',Response: Pre-registered disconfirmation list + adversarial review published with results,"N/A (design decision, not survey item)",,Resolved,
Criticisms resolved (§8.1),Resolved criticism,criticism_19,#19 (Ball-style review): Curated alarming anchors,"Response: Symmetric anchor pool (LeCun ~0% to Amodei 25%), reported by anchor","N/A (design decision, not survey item)",,Resolved,
Criticisms resolved (§8.1),Resolved criticism,criticism_20,#20 (Ball-style review): Liability options biased,Response: Negligence / duty-of-care middle option added,"N/A (design decision, not survey item)",,Resolved,
Criticisms open (§8.2),Open criticism,criticism_open_A,"#A (Delaney; Barnett agreed): It may not matter what the public thinks: not deeply held beliefs, politicians won't weight them, public won't act unless AI becomes personally salient","Status: Partially mitigated: measure stability (counter-message swing, consistency, information effects) and recommend deliberative Phase 2. Deeper theory-of-change challenge unsettled.",N/A (unresolved design question),,Open criticism,
Criticisms open (§8.2),Open criticism,criticism_open_B,"#B (Barnett): F–N exercise may overshoot: AI risk estimates 3–12 OOMs above any tolerated engineering standard, so precise risk chart may be discounted as absurd","Status: Partially mitigated: headline is now the gap, not a point; back-out illustrative only. Residual worry remains.",N/A (unresolved design question),,Open criticism,
Criticisms open (§8.2),Open criticism,criticism_open_C,"#C (Barnett): Method relies on people accurately assessing risks, which they will do badly or with wild optimism (off by OOMs)","Status: Partially mitigated via recognition-over-generation, information-provision arm, and numeracy moderation. Not fully closed.",N/A (unresolved design question),,Open criticism,
Criticisms open (§8.2),Open criticism,criticism_open_D,#D (Liam Carroll (Gradient)): Latent-preference and conditional-vs-unconditional points plus recommendation for deliberative process,Status: Phase 2 deliberative mini-public recommended; not yet scoped or funded.,N/A (unresolved design question),,Open criticism,
